id,parent_id,branch_code,branch_name,branch_level,province,city,address,service_phone,branch_status,opened_at,closed_at,created_at,updated_at
0,,ALL,全行汇总,head_office,,,,95588,active,2010-01-01 00:00:00,,2010-01-01 00:00:00,2026-01-01 00:00:00
1,,HO001,中州银行总行,head_office,上海市,上海市,浦东新区金融大道 88 号,95588,active,2010-01-01 00:00:00,,2010-01-01 00:00:00,2026-01-01 00:00:00
2,1,BR001,上海分行,branch,上海市,上海市,上海市上海金融中心 1 号,021-95588001,active,2012-01-01 00:00:00,,2012-01-01 00:00:00,2026-01-01 00:00:00
3,2,SB001,上海中心支行,sub_branch,上海市,上海市,上海市中心路 18 号,021-95589001,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
4,2,SB002,上海东区支行,sub_branch,上海市,上海市,上海市东区路 36 号,021-95589002,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
5,2,SB003,上海西区支行,sub_branch,上海市,上海市,上海市西区路 54 号,021-95589003,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
6,2,SB004,上海北区支行,sub_branch,上海市,上海市,上海市北区路 72 号,021-95589004,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
7,2,SB005,上海南区支行,sub_branch,上海市,上海市,上海市南区路 90 号,021-95589005,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
8,1,BR002,北京分行,branch,北京市,北京市,北京市北京金融中心 2 号,010-95588002,active,2013-01-01 00:00:00,,2013-01-01 00:00:00,2026-01-01 00:00:00
9,8,SB006,北京中心支行,sub_branch,北京市,北京市,北京市中心路 108 号,010-95589006,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
10,8,SB007,北京东区支行,sub_branch,北京市,北京市,北京市东区路 126 号,010-95589007,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
11,8,SB008,北京西区支行,sub_branch,北京市,北京市,北京市西区路 144 号,010-95589008,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
12,8,SB009,北京北区支行,sub_branch,北京市,北京市,北京市北区路 162 号,010-95589009,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
13,8,SB010,北京南区支行,sub_branch,北京市,北京市,北京市南区路 180 号,010-95589010,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
14,1,BR003,深圳分行,branch,广东省,深圳市,深圳市深圳金融中心 3 号,0755-95588003,active,2014-01-01 00:00:00,,2014-01-01 00:00:00,2026-01-01 00:00:00
15,14,SB011,深圳中心支行,sub_branch,广东省,深圳市,深圳市中心路 198 号,0755-95589011,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
16,14,SB012,深圳东区支行,sub_branch,广东省,深圳市,深圳市东区路 216 号,0755-95589012,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
17,14,SB013,深圳西区支行,sub_branch,广东省,深圳市,深圳市西区路 234 号,0755-95589013,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
18,14,SB014,深圳北区支行,sub_branch,广东省,深圳市,深圳市北区路 252 号,0755-95589014,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
19,14,SB015,深圳南区支行,sub_branch,广东省,深圳市,深圳市南区路 270 号,0755-95589015,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
20,1,BR004,广州分行,branch,广东省,广州市,广州市广州金融中心 4 号,020-95588004,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
21,20,SB016,广州中心支行,sub_branch,广东省,广州市,广州市中心路 288 号,020-95589016,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
22,20,SB017,广州东区支行,sub_branch,广东省,广州市,广州市东区路 306 号,020-95589017,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
23,20,SB018,广州西区支行,sub_branch,广东省,广州市,广州市西区路 324 号,020-95589018,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
24,20,SB019,广州北区支行,sub_branch,广东省,广州市,广州市北区路 342 号,020-95589019,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
25,20,SB020,广州南区支行,sub_branch,广东省,广州市,广州市南区路 360 号,020-95589020,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
26,1,BR005,杭州分行,branch,浙江省,杭州市,杭州市杭州金融中心 5 号,0571-95588005,active,2016-01-01 00:00:00,,2016-01-01 00:00:00,2026-01-01 00:00:00
27,26,SB021,杭州中心支行,sub_branch,浙江省,杭州市,杭州市中心路 378 号,0571-95589021,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
28,26,SB022,杭州东区支行,sub_branch,浙江省,杭州市,杭州市东区路 396 号,0571-95589022,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
29,26,SB023,杭州西区支行,sub_branch,浙江省,杭州市,杭州市西区路 414 号,0571-95589023,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
30,26,SB024,杭州北区支行,sub_branch,浙江省,杭州市,杭州市北区路 432 号,0571-95589024,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
31,26,SB025,杭州南区支行,sub_branch,浙江省,杭州市,杭州市南区路 450 号,0571-95589025,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
32,1,BR006,南京分行,branch,江苏省,南京市,南京市南京金融中心 6 号,025-95588006,active,2017-01-01 00:00:00,,2017-01-01 00:00:00,2026-01-01 00:00:00
33,32,SB026,南京中心支行,sub_branch,江苏省,南京市,南京市中心路 468 号,025-95589026,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
34,32,SB027,南京东区支行,sub_branch,江苏省,南京市,南京市东区路 486 号,025-95589027,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
35,32,SB028,南京西区支行,sub_branch,江苏省,南京市,南京市西区路 504 号,025-95589028,active,2015-01-01 00:00:00,,2015-01-01 00:00:00,2026-01-01 00:00:00
