id,parent_id,category_code,category_name,category_type,category_level,sort_no,yn,created_at,updated_at
1,,ACCOUNT,账户产品,account,1,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
2,,LOAN,贷款产品,loan,1,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
3,,WEALTH,理财产品,wealth,1,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
4,,SERVICE,服务产品,service,1,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
11,1,ACCOUNT_DEMAND,活期结算账户,account,2,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
12,1,ACCOUNT_LOAN_REPAY,贷款还款账户,account,2,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
13,1,ACCOUNT_WEALTH,理财资金账户,account,2,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
21,2,LOAN_CONSUMER,消费贷款,loan,2,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
22,2,LOAN_CASH,现金贷款,loan,2,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
23,2,LOAN_INSTALLMENT,分期贷款,loan,2,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
24,2,LOAN_BUSINESS,经营贷款,loan,2,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
25,2,LOAN_MORTGAGE,抵押贷款,loan,2,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
26,2,LOAN_GUARANTEE,担保贷款,loan,2,6,1,2018-01-01 00:00:00,2026-01-01 00:00:00
31,3,WEALTH_CASH,现金管理,wealth,2,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
32,3,WEALTH_FIXED,固定收益,wealth,2,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
33,3,WEALTH_MIXED,混合策略,wealth,2,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
34,3,WEALTH_EQUITY,权益策略,wealth,2,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
35,3,WEALTH_STRUCTURED,结构性存款,wealth,2,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
41,4,SERVICE_ACCOUNT,账户服务,service,2,1,1,2018-01-01 00:00:00,2026-01-01 00:00:00
42,4,SERVICE_TRANSACTION,交易服务,service,2,2,1,2018-01-01 00:00:00,2026-01-01 00:00:00
43,4,SERVICE_WEALTH,理财服务,service,2,3,1,2018-01-01 00:00:00,2026-01-01 00:00:00
44,4,SERVICE_LOAN,贷款服务,service,2,4,1,2018-01-01 00:00:00,2026-01-01 00:00:00
45,4,SERVICE_SUPPORT,客服服务,service,2,5,1,2018-01-01 00:00:00,2026-01-01 00:00:00
