id,product_code,product_name,category_id,currency_code,account_type,min_open_amount,daily_transfer_limit,daily_withdraw_limit,annual_fee_amount,product_status,created_at,updated_at
1,ACC_DEMAND_CNY,人民币活期结算账户,11,CNY,demand_deposit,0,500000,100000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
2,ACC_SETTLE_USD,美元结算账户,11,USD,settlement,100,100000,20000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
3,ACC_SETTLE_HKD,港币结算账户,11,HKD,settlement,100,200000,50000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
4,ACC_LOAN_REPAY_CNY,贷款还款专用账户,12,CNY,loan_repayment,0,300000,50000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
5,ACC_WEALTH_CNY,理财资金账户,13,CNY,wealth_settlement,0,1000000,100000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
6,ACC_PAYROLL_CNY,工资代发账户,11,CNY,settlement,0,800000,100000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
7,ACC_BUSINESS_CNY,企业结算账户,11,CNY,settlement,1000,5000000,300000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
8,ACC_MERCHANT_CNY,商户收单结算账户,11,CNY,settlement,0,3000000,200000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
9,ACC_VIRTUAL_CNY,线上虚拟结算账户,11,CNY,demand_deposit,0,300000,50000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
10,ACC_ESCROW_CNY,担保支付监管账户,11,CNY,settlement,0,10000000,0,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
11,ACC_WEALTH_USD,美元理财资金账户,13,USD,wealth_settlement,100,200000,20000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
12,ACC_BUSINESS_USD,美元企业结算账户,11,USD,settlement,1000,500000,50000,20,active,2019-01-01 00:00:00,2026-01-01 00:00:00
13,ACC_SETTLE_EUR,欧元结算账户,11,EUR,settlement,100,100000,20000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
14,ACC_SETTLE_GBP,英镑结算账户,11,GBP,settlement,100,100000,20000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
15,ACC_SETTLE_JPY,日元结算账户,11,JPY,settlement,10000,10000000,1000000,1000,active,2019-01-01 00:00:00,2026-01-01 00:00:00
16,ACC_LOAN_REPAY_USD,美元贷款还款账户,12,USD,loan_repayment,100,100000,20000,10,active,2019-01-01 00:00:00,2026-01-01 00:00:00
17,ACC_API_SETTLE_CNY,开放银行结算账户,11,CNY,settlement,0,5000000,300000,0,active,2019-01-01 00:00:00,2026-01-01 00:00:00
18,ACC_CROSS_BORDER_CNY,跨境结算账户,11,CNY,settlement,1000,2000000,100000,20,active,2019-01-01 00:00:00,2026-01-01 00:00:00
