id,product_code,product_name,category_id,currency_code,risk_level_id,loan_type,min_amount,max_amount,min_term_months,max_term_months,annual_interest_rate,min_interest_rate,max_interest_rate,collateral_required_flag,guarantee_required_flag,post_registration_allowed_flag,min_guarantee_ratio,repayment_method,product_status,created_at,updated_at
1,LOAN_CONSUMER_STD,标准消费信用贷,21,CNY,7,consumer,3000,300000,3,36,0.072,0.048,0.108,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
2,LOAN_CONSUMER_PLUS,优享消费信用贷,21,CNY,7,consumer,10000,500000,6,60,0.068,0.045,0.098,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
3,LOAN_CONSUMER_PAYROLL,薪享消费贷,21,CNY,6,consumer,5000,300000,3,48,0.062,0.039,0.092,0,0,0,,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
4,LOAN_CONSUMER_GREEN,绿色消费贷,21,CNY,7,consumer,5000,400000,6,60,0.066,0.042,0.095,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
5,LOAN_CASH_FAST,极速现金贷,22,CNY,8,cash,1000,80000,1,24,0.108,0.072,0.18,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
6,LOAN_CASH_SMALL,小额周转现金贷,22,CNY,8,cash,500,50000,1,18,0.128,0.088,0.2,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
7,LOAN_CASH_SALARY,工资客户现金贷,22,CNY,7,cash,1000,120000,1,36,0.096,0.065,0.15,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
8,LOAN_CASH_DIGITAL,线上现金贷,22,CNY,8,cash,1000,100000,1,24,0.118,0.078,0.18,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
9,LOAN_INSTALLMENT_EASY,大额分期贷,23,CNY,8,installment,5000,200000,6,48,0.086,0.052,0.13,0,0,0,,equal_principal,active,2019-01-01 00:00:00,2026-01-01 00:00:00
10,LOAN_INSTALLMENT_AUTO,汽车消费分期贷,23,CNY,7,installment,30000,800000,12,60,0.058,0.039,0.09,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
11,LOAN_INSTALLMENT_HOME,家装分期贷,23,CNY,7,installment,10000,500000,6,60,0.065,0.042,0.098,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
12,LOAN_INSTALLMENT_EDU,教育分期贷,23,CNY,7,installment,3000,200000,3,36,0.072,0.048,0.108,0,0,0,,equal_principal_interest,active,2019-01-01 00:00:00,2026-01-01 00:00:00
13,LOAN_BUSINESS_WORKING,小微经营周转贷,24,CNY,8,business,50000,2000000,6,60,0.069,0.045,0.12,0,1,0,1.2,interest_first,active,2019-01-01 00:00:00,2026-01-01 00:00:00
