id,product_id,rule_code,rule_name,rule_type,rule_expression,threshold_value,decision_action,yn,created_at,updated_at
1,1,P1_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
2,1,P1_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
3,1,P1_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
4,1,P1_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
5,1,P1_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
6,1,P1_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
7,2,P2_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
8,2,P2_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
9,2,P2_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
10,2,P2_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
11,2,P2_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
12,2,P2_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
13,3,P3_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
14,3,P3_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
15,3,P3_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
16,3,P3_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
17,3,P3_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
18,3,P3_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
19,4,P4_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
20,4,P4_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
21,4,P4_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
22,4,P4_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
23,4,P4_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
24,4,P4_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
25,5,P5_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
26,5,P5_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
27,5,P5_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
28,5,P5_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
29,5,P5_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
30,5,P5_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
31,6,P6_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
32,6,P6_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
33,6,P6_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
34,6,P6_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
35,6,P6_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
36,6,P6_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
37,7,P7_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
38,7,P7_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
39,7,P7_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
40,7,P7_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
41,7,P7_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
42,7,P7_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
43,8,P8_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
44,8,P8_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
45,8,P8_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
46,8,P8_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
47,8,P8_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
48,8,P8_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
49,9,P9_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
50,9,P9_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
51,9,P9_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
52,9,P9_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
53,9,P9_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
54,9,P9_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
55,10,P10_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
56,10,P10_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
57,10,P10_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
58,10,P10_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
59,10,P10_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
60,10,P10_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
61,11,P11_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
62,11,P11_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
63,11,P11_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
64,11,P11_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
65,11,P11_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
66,11,P11_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
67,12,P12_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
68,12,P12_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
69,12,P12_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
70,12,P12_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
71,12,P12_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
72,12,P12_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
73,13,P13_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
74,13,P13_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
75,13,P13_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
76,13,P13_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
77,13,P13_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
78,13,P13_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
79,14,P14_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
80,14,P14_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
81,14,P14_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
82,14,P14_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
83,14,P14_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
84,14,P14_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
85,15,P15_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
86,15,P15_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
87,15,P15_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
88,15,P15_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
89,15,P15_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
90,15,P15_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
91,16,P16_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
92,16,P16_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
93,16,P16_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
94,16,P16_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
95,16,P16_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
96,16,P16_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
97,17,P17_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
98,17,P17_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
99,17,P17_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
100,17,P17_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
101,17,P17_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
102,17,P17_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
103,18,P18_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
104,18,P18_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
105,18,P18_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
106,18,P18_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
107,18,P18_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
108,18,P18_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
109,19,P19_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
110,19,P19_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
111,19,P19_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
112,19,P19_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
113,19,P19_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
114,19,P19_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
115,20,P20_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
116,20,P20_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
117,20,P20_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
118,20,P20_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
119,20,P20_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
120,20,P20_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
121,21,P21_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
122,21,P21_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
123,21,P21_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
124,21,P21_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
125,21,P21_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
126,21,P21_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
127,22,P22_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
128,22,P22_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
129,22,P22_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
130,22,P22_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
131,22,P22_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
132,22,P22_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
133,23,P23_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
134,23,P23_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
135,23,P23_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
136,23,P23_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
137,23,P23_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
138,23,P23_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
139,24,P24_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
140,24,P24_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
141,24,P24_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
142,24,P24_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
143,24,P24_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
144,24,P24_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
145,25,P25_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
146,25,P25_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
147,25,P25_MAX_DTI,负债收入比准入,debt_ratio,debt_income_ratio <= threshold,0.55,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
148,25,P25_MIN_CREDIT_SCORE,征信评分准入,credit_score,credit_score >= threshold,620,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
149,25,P25_BLACKLIST_BLOCK,黑名单阻断,blacklist,blacklist_hit = 0,0,reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
150,25,P25_MATERIAL_REQUIRED,材料完整性准入,material,required_material_valid = 1,1,supplement_material,1,2019-01-01 00:00:00,2026-01-01 00:00:00
151,26,P26_CUSTOMER_TYPE,客户类型准入,customer_type,customer_type in allowed_customer_types,"personal,enterprise",reject,1,2019-01-01 00:00:00,2026-01-01 00:00:00
152,26,P26_MIN_INCOME,最低收入准入,income,monthly_income_amount >= threshold,5000,manual_review,1,2019-01-01 00:00:00,2026-01-01 00:00:00
