id,product_id,material_type,required_stage,required_flag,waivable_flag,yn,created_at,updated_at
1,1,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
2,1,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
3,1,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
4,1,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
5,2,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
6,2,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
7,2,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
8,2,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
9,3,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
10,3,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
11,3,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
12,3,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
13,4,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
14,4,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
15,4,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
16,4,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
17,5,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
18,5,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
19,5,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
20,5,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
21,6,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
22,6,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
23,6,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
24,6,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
25,7,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
26,7,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
27,7,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
28,7,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
29,8,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
30,8,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
31,8,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
32,8,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
33,9,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
34,9,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
35,9,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
36,9,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
37,10,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
38,10,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
39,10,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
40,10,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
41,11,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
42,11,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
43,11,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
44,11,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
45,12,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
46,12,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
47,12,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
48,12,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
49,13,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
50,13,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
51,13,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
52,13,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
53,13,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
54,13,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
55,13,guarantee_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
56,13,guarantee_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
57,14,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
58,14,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
59,14,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
60,14,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
61,14,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
62,14,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
63,14,guarantee_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
64,14,guarantee_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
65,15,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
66,15,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
67,15,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
68,15,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
69,15,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
70,15,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
71,15,guarantee_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
72,15,guarantee_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
73,16,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
74,16,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
75,16,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
76,16,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
77,16,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
78,16,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
79,16,guarantee_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
80,16,guarantee_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
81,17,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
82,17,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
83,17,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
84,17,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
85,17,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
86,17,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
87,17,collateral_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
88,17,collateral_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
89,18,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
90,18,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
91,18,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
92,18,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
93,18,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
94,18,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
95,18,collateral_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
96,18,collateral_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
97,19,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
98,19,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
99,19,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
100,19,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
101,19,collateral_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
102,19,collateral_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
103,20,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
104,20,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
105,20,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
106,20,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
107,20,collateral_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
108,20,collateral_contract,contract,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
109,21,identity,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
110,21,income,application,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
111,21,credit_authorization,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
112,21,bank_statement,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
113,21,business_license,application,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
114,21,tax_record,approval,1,1,1,2019-01-01 00:00:00,2026-01-01 00:00:00
115,21,guarantee_document,approval,1,0,1,2019-01-01 00:00:00,2026-01-01 00:00:00
