id,product_code,product_name,category_id,currency_code,risk_level_id,product_type,operation_mode,min_purchase_amount,increment_amount,expected_yield_rate,nav_based_flag,sale_start_at,sale_end_at,value_date_rule,redeem_rule,product_status,created_at,updated_at
1,WM_CASH_01,中州现金管理01号,31,CNY,6,cash_management,open,1,1,0.0183,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
2,WM_FIXED90_01,中州90天固定收益01号,32,CNY,7,fixed_income,closed,10000,1000,0.0323,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
3,WM_FIXED180_01,中州180天固定收益01号,32,CNY,7,fixed_income,closed,10000,1000,0.0363,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
4,WM_MIXED_01,中州平衡配置混合策略01号,33,CNY,8,mixed,periodic_open,50000,1000,0.0453,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
5,WM_EQUITY_01,中州权益成长优选01号,34,CNY,9,equity,periodic_open,100000,10000,0.0653,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
6,WM_STRUCT_01,中州指数挂钩结构性存款01号,35,CNY,8,structured_deposit,closed,50000,10000,0.0383,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
7,WM_CASH_02,中州现金管理02号,31,CNY,6,cash_management,open,1,1,0.0186,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
8,WM_FIXED90_02,中州90天固定收益02号,32,CNY,7,fixed_income,closed,10000,1000,0.0326,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
9,WM_FIXED180_02,中州180天固定收益02号,32,CNY,7,fixed_income,closed,10000,1000,0.0366,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
10,WM_MIXED_02,中州平衡配置混合策略02号,33,CNY,8,mixed,periodic_open,50000,1000,0.0456,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每月开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
11,WM_EQUITY_02,中州权益成长优选02号,34,CNY,9,equity,periodic_open,100000,10000,0.0656,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+2,每季开放赎回,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
12,WM_STRUCT_02,中州指数挂钩结构性存款02号,35,CNY,8,structured_deposit,closed,50000,10000,0.0386,0,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,到期兑付,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
13,WM_CASH_03,中州现金管理03号,31,CNY,6,cash_management,open,1,1,0.0189,1,2024-01-01 00:00:00,2026-12-31 23:59:59,T+1,T+1到账,selling,2024-01-01 00:00:00,2026-01-01 00:00:00
