id,product_id,purchase_confirm_days,redeem_confirm_days,redeem_arrival_days,cutoff_time,rule_status,created_at,updated_at
1,1,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
2,2,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
3,3,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
4,4,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
5,5,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
6,6,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
7,7,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
8,8,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
9,9,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
10,10,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
11,11,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
12,12,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
13,13,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
14,14,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
15,15,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
16,16,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
17,17,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
18,18,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
19,19,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
20,20,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
21,21,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
22,22,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
23,23,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
24,24,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
25,25,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
26,26,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
27,27,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
28,28,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
29,29,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
30,30,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
31,31,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
32,32,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
33,33,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
34,34,2,2,3,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
35,35,2,3,5,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
36,36,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
37,37,1,1,1,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
38,38,1,0,90,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
39,39,1,0,180,15:00:00,active,2024-01-01 00:00:00,2026-01-01 00:00:00
