id,strategy_id,rule_id,execute_order,rule_weight,required_flag,stop_on_hit_flag,decision_override,yn,created_at,updated_at
1,1,1,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
2,1,2,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
3,1,8,3,1,0,1,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
4,2,3,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
5,2,4,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
6,3,5,1,1,1,1,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
7,3,6,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
8,4,7,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
9,4,8,2,1,0,1,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
10,5,9,1,1,1,1,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
11,5,10,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
12,6,6,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
13,6,8,2,1,0,1,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
14,6,15,3,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
15,7,11,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
16,7,12,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
17,8,14,1,1,1,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
18,8,16,2,1,0,0,,1,2024-01-01 00:00:00,2026-01-01 00:00:00
